击 拍
父亲 爹地
当下 面前
劣 菜
录 记录
花 香
以往 慢
安 安非他命
喊 称呼
特地 特意
历时 阅
为甚么 何为
揹 肩
乐于 乐意
息 止住
方 首
舌 舌头
所以 故而
包围 拱
盖 胜
因之 是以
完 完全
吝于 靳
编成 造
例 如
兵 军队
之类 的
迄于 迄至
损坏 毁
清楚 解
沐 驱
仪 纪
注重 重
念 挂
乃至 以至于
庄 庄子
利 有利于
仅有 祇不过
映 映照
如果说 脱
杀 杀价
之内 际
精 精液
观 观赏
间 际
罢了 耳
予 偶
佩服 折服
友 友人
少许 有些
偏 厚
天上圣母 妈祖
叔 叔叔
乃 始
回 回档
藏 躲
墨 折
之外 以外
及至 迄至
扫 晃
结束 闭
死 过往
争 怎么
寻找 寻求
房屋 房舍
掌 掌握
随 随同
之至 盛
拗 水泥
机械 机械工程
肚 肚子
一边 带
密 秘
华 英
广 广州
个人 偶
用 采取
排 排出
如若 要
挖出 挖掘
走 过往
开放 打开
几 殆
必 稳
压缩 缩
兵 军
停止 息
夜 晚上
互 相互
口 开口
注 灌
一定 必
广 广泛
极为 至为
中性 中立
倒 垮台
讲到 谈到
光 净
志 收入
桥 调整
保有 有
准 就
以往 昨天
买下来 置
做 当
世 国际
教 教师
区域 地方
不仅仅 不止
背 负
无线 无线电视频道
弃 放弃
流 等级
香港 香港岛
房子 房屋
存 昌
倘若 要是
巴 著
捏 造
彩 颜料
凉 弃置
假若 要
乏 缺
拍照 照相
逢 遇上
仰赖 赖
怀 持
巧 恰好
项 领
惟有 祇
台师大 师大
前方 前面
容貌 面目
台大 台大
名 表示
了解 了解到
毒 毒品
依 凭借
怕 禁不起
叫 要
碰到 触
等 级
北京 大陆
泯 灭
主 负责
测量 量
实在 实是
台湾师范大学 师大
租 赁
投 花
稳 铁
流 流明
深 荣
担 驼
一共 凡
曝 走
专任 全职
爬 站起来
上 上学
失 折
伤 毁
山东 山东省
极度 极端
依据 根据
显 现
花 花费
买 买下来
原 固
便 屎
充 干
右 右岸
立 立即
可能 可能性
体 体育馆
挪 挪威
癌 癌症
举 悉皆
凭 秉
任何 任意
木 闷
战 战役
白 素
力 功能
类 色
偏 穷
亏 多亏
招待 接待
只不过 就是
研 研究
的 的确
诺贝尔 诺贝尔奖
正 正在
成 现成
趴 趴踢
遇到 遇见
心 心胸
定 必
思考 想
搬 搬弄是非
时间 辰
拙 朴
特 贼
捐 捐献
使 要是
杆 竿
当 面对
煞为 爆
畅 通
扬 撒
地 地区
俞 穴
跟 问
房 房子
旦 晓
动 工作
保 维
子 种子
目 眼睛
临 逢
依照 凭
刻 眼前
小时 幼
开 开天窗
当下 当时
正 酷
中华 华
大幅 大幅度
栽 跌
甚至于 连
只有 惟有
柴 薪
时 隙
要 设
逼 逼使
便 大
看病 诊治
依 傍
回 回回民族
落败 败
率领 领
好多 许多
凌 吃
绝顶 至极
为甚么 怎的
为甚么 因何
原因 因
溜 转
历经 经历
以至于 甚或
粮 粮食
境地 情况
对待 待
疏 陌生
保罗 圣保罗
防患未然 预防
译 译成
丐 乞讨
死掉 离去
不料 没想到
楷书 真
善于 擅长
世界 全球
捏 秉
撤 灭
公公 翁
中山 中山女高
读 阅读
索 要求
作 便是
一起 共同
权 权力
减弱 削减
超出 超过
轨 辙
新 新朝
换句话说 易言之
国民小学 小学
十足 极度
放 放出
少年 少时
如 设
单纯 纯粹
只有 唯有
化为 转化为
后 晚
挖 挖出
储蓄 存
但是 就是
时辰 辰
假使 如果
清除 砍
体 体育
担 挑
英里 迈
误 误会
恶 逊
务 铁定
桃 桃园
储存 贮
暖 热身
不单 不啻
刚 刚刚
卡 打结
果 要是
戒 戒指
依照 秉
死 绝
写 写出来
则 轨
旋 立刻
结 结束
害 染
色 颜色
姿 态
过关 闯
干 当
真正 道地
关闭 闭
数目 文字
留 蓄
净 纯
牧 耕
傻 笨
写 现
算了 罢了
归属 画成
仍 按
内 际
建设 造
作战 战
标示 示
为 为了
含有 带
恶 柴
敕 符
灾 祸
煞 绝
派 陈
扒 挖
保留 留
竟 竟然
晶 水晶
项 颈
且 并且
做 系
吓 恐吓
健 健康
广 开阔
保险 保险公司
私 私人
屋子 房
烂 鬼
呆 拙
孔 孔子
洞 空
化成 转成
只 惟有
不错 好
拍摄 照
占 据
防 防范
川 河
俞 允许
歇 趴
不能 不行
甚或 甚至
仪 轨
经营 营
倾 偏
紫 青
后 裔
一共 合
敬 行
朋 朋友
废 破
愈趋 越发
事 干
乘 坐
差 缺乏
假如说 如若
背 赛
杀 极
乃 方
微小 细微
吃 用
候 等
南 南风
卜 看看
沉 落
跳 蹦
亦 搁
纳 缝
溶化 融
如若 要是
中共 北京
就 顺从
先生 婿
梅 梅花树
一连 连续
到家 盛
歇 绝
轰 逐
带 掺
体 立基
显 耀
小时 时
挂 走
中 里
料 材
然 然则
封蔽 影
开 开刀
害怕 怕
先生 老师
江 河川
绕 绕道
往 朝
新 甫
传世 公诸于世
寝 绝
收 记下来
超 逾
利益 润
恶 菜
吃下 吃掉
乃至 甚或
去 除去
沪尾 淡
舅 舅舅
为 作
打电话 抠
现 表现
掘 觅
以 把
不过 但是
北 输
待到 等
稍稍 稍许
任职 担任
转眼间 顷
北 折
举 整
杀 极为
基层 基础
客 顾客
公 雄
一定 势必
壹 整
给与 赋与
湿 潮湿
向 跟
势 鸟
一点点 点点
再不然 要不然
余 偶
居然 竟
唯有 祇不过
入 合乎
高 高雄县
昌 茂
感染 染
急 迅速
依据 按照
施 施力
扯 拢
境 界
余 其他
变 变成
根据 照
漏出 露
导致 引致
总 总是
我 敝人
不然 再不然
当时 旋
一边 边
宫 故宫博物院
发 发表
乱 精
使 设若
具有 拥有
特 相当
吃 黑
作 作出
昌 活
晚 而后
摔倒 跌
照理 照道理说
一定 铁
污 脏
负 阴
拖 拖延
抓 掐
觅 谋
带有 掺
匙 杓子
天 空
羽 羽毛
告 谓
秩序 规则
若 若是
不必 不要
恒 永久
古 古体诗
因 故
否 坏
套 绑
各 诸
擅长 精
剥 剥削
离 阔
阮 阮咸
整 浑
使 倘若
中华 中华民国
年纪 龄
余 残
个人 余
绝顶 至为
技 技术
舍 阔
旁边 畔
奇 贼
建筑物 筑
争 吵
仍 仍然
条 路线
弦 弦乐器
干 有关
放 放火
争 争相
空 空间
棉花 花
打 打盹
假使 假如
傲 骄
变为 成为
和平 安详
敝 疲惫
白白 虚
招 揽
基 基层
斗 斗争
无 没
当 面
求 讨
挡 阻
突 突然
川 蜀
根据 案
至为 至极
避 防患未然
摇 摇船
助 帮
一点儿 半点
毒品 毒物
本 母
享 享有
立刻 随即
伊斯兰教 回教
死亡 死掉
忘 遗忘
定 稳
名 表达
修 修改
休 辞职
儿 小朋友
哪里 那
寄 寄予
色 色彩
掰 编成
头部 首
基本 大致
况 譬喻
上 上面
不良 差
动 运作
提前 提早
进去 进来
壹 满
男 男子
胜 超越
植 植物
呈现 现
单 只
渡 渡过
泛 见
恕 饶
清 清大
中共 京
唤 称呼
许多 许许多多
料 费
假如说 设若
摔 跌倒
烧 烫
患 罹患
分为 划分为
含意 意
合 适
看到 见
攻 进攻
航 船只
这么样 那样
估 推估
离开 跳出
北京 北平
铁 铜
及至 降至
详 详细
拍摄 摄
唯有 独
患 染
航空 航空公司
读书 阅读
贫 陋
仅仅 祇
友 友好
开 开球
族 族群
歇 止
乘机 趁机
困难 困难
出 超过
咬 啃
临 靠
供认 招
种 籽
作 作为
国父 孙
板 篮板
假如 要
爆 绝
书 尚书
日渐 日益
力量 效
乏 差
母 母亲
益加 越发
华 台
摆 置
吻 香
紧急 迫切
区 地区
下 做
天气 天色
清洗 灭绝
投入 花钱
打 提起
意想不到 讵料
怀 抱
备 带有
剥蚀 啮
不 无
超越 越
然则 祇不过
交 打
依据 依照
怪 超
易 轻视
维 维持
中山 孙文
包围 环
同 相同
妈 母
摸 摸索
开口 打开
从来 向来
假如 设
弦 感情
情 感情
与１ 和
寝 眠
证 证据
即时 旋
于是 爰
分解 说明
之前 前面
依 按照
握 秉
拢 皆
首 首先
妃 妈
修 修行
死亡 过往
控 控制
推荐 荐
联合 集合
北 北风
管道 道
事情 务
连 连战
搭配 沓
已 已经
永 永远
ТЅБ Тай
乐 娱
漏 露
了解到 摸
宁 安
占有 持有
东京 洛阳
下级 属下
天 天空
内部 际
为 乃
刹那间 顷
掌 控
抢 拽
电话 电话号码
准 类
望 期望
伴 侣
且 并
面临 面对
灭绝 除去
依 准
重 重要
皂 黑
名为 名叫
所有 诸
花费 费
适 适当
抵 敌
边 顷
伴随 随
北燕 燕
民 民事
上 解
只有 独独
方 端
炎 焚
城 都市
住房 屋子
合同 约１
带有 杂
先生 医
纪 轨
韩愈 韩昌黎
脱 若
储 存
红 青
富 麦克
向 向来
言 说道
极为 毙
仍 依旧
中正 蒋介石
一样 相同
特别 超级
自然 自然而然
正 闪
兼 兼任
和 和解
烧 耗费
以后 后来
鄙人 阿拉
可能 机会
之前 前
美 美利坚合众国
要 要是
死１ 离开
掌 掴
后燕 燕
泯 移
坏 糟
吹 吹熄
落 降水
停 寝
味 滋
打 电
多少 若干
胜过 赛
满 满洲国
愣 笨
捏 握
妆 嫁妆
参 参加
甘 甘肃省
剉 抖
更加 逾
蒋 领袖
宗 流派
发现 揭
公公 太监
仅仅 只
内部 里头
凉 南凉
后代 子孙
匀 拨
壳 房子
烧 煮饭
换言之 易言之
马 马杀鸡
妃 娘
坚定 确
净 清洁
深 狠
则 那
愈益 益加
伤 创
抚 枕
弱 衰
空 腾
丰 丰沛
创 成立
老夫 老汉
争 怎地
思 思考
拙 蠢
具有 备
期许 盼
心情 意
挑 揹
力量 劲
纯 练
人民 民
蒙古 蒙古国
征服 超越
事实上 其实
厝 户
少 稀
弱 过去
减少 减轻
真 真理
杀 极了
丘 冢
有一些 有些
偏１ 重
座 座位
人 人物
基督 耶稣
一同 共同
江苏 苏
得到 获
操 柄
拥 拥有
打 比喻
如何 那
庄 庄家
仅有 只是
西天 西方
步 步伐
名 表
乃 是
休 辞
合 总共
不只 不啻
太阳 太阳穴
眼前 面前
尽 尽可能
逼使 驱
品 品质
好些 许多
屋 屋子
去 撤
向 面临
准 稳
乱 任意
亦即 在于
本人 阮
吞 吞下
慢 龟
即 当时
色 黄
内 里面
务 稳
发 核发
孟尝君 田文
也 同样
杀 杀球
特 特地
这么样 这样
前 前面
安 排
抠 拷
行动 表现
宋 宋楚瑜
生疏 疏
算 算了
减缓 杀
不仅仅 不啻
不错 对
不论 任凭
漆 漆水
脖子 项
喜欢 欢喜
女 女子
中央 中央大学
倾 穷
因 盖
息 绝
人家 咱
始 起
带有 附
块 抠
得 染
之至 透
思 要
放 贮
国民 民
河 河川
空 赤
拦 面临
拦 碍
又 载
从 向来
罗东 罗东镇
中 之中
狂 猛
沿 缘
陆 陆路
轰 驱
干 爱
埋 缠
弹 撢
看出 见
戳 章
讲 说道
光 光线
善于 长
局限 限于
活 生活
录 志
冬 年
毕竟 终究
公公 舅
建筑 筑
众多 诸多
刮 削
写 形
匮 贫
侬 子
茗 茶
当地 本地
富 饶
历 经历
存档 贮
下 放
吗 呢
确实 诚
民 萌
便是 纵
清 清清楚楚
开 花费
杀 透
就是 系
减肥 缩短
死 离开
摊 洒
亮 水
可 然则
收 采收
兼 及
厚 注重
由 自
统统 通通
奏效 有效
在下 敝人
幸存 生存
扒 拆
由于 盖
哪 安
将要 要
速 速率
乏 欠
依靠 靠
宝瓶座 水瓶座
席 座位
叙述 敍
一 乙
主 王
注 注册
劫 灾
倘 假如说
超过 过
关系 缘
可是 然而
向往 驰
备至 绝
打 打下
新 星加坡
挫 解
弄 耍
度 量
枪 枪法
几 若干
近 迫
医师 医生
真 逼真
色 黄色
润 补
务 肯定
撒 说谎
儿时 小时
医院 院
只有 祇
略 稍稍
之至 煞为
朽 腐朽
废 弃
原先 本
只是 祇不过
以及 和
辞 辞职
雄 高雄
症 表现
烂 腐
调 调整
仍 按照
儿 男生
法 法律
中国人 大陆人
隐约 隐隐
好比说 比方
志 收
傻 拙
斐 斐济
将近 接近
流入 渗入
学 效
特别 精
电动 电动玩具
拔 除去
撒 撒谎
源 源头
杆 球杆
握 攥
不便 紧
谓 道
打 抢
浑 甚
开讲 拉
惜 珍
以后 晚
个 独
保 保证
开放 开放式
步 行
说明 说明书
这么多 那么多
观世音 观音大士
之至 暴
公 阳
封 封闭
规划 计算
咱 咱们
弄 生
冲洗 洗
里头 际
折 折合
流 级
打 打舌
发芽 萌芽
阮 阿拉
哥 昆
河 银河系
东 东风
出来 现
展现 显
水蒸气 汽
个人 我
兄弟 弟兄
契约 约１
脖 脖子
反 反动
犯 犯罪
拍 拍摄
仰 仰赖
延续 继续
犯 犯规
睹 观赏
仿佛 恍
大 大学
住房 屋
资 资金
反 后面
会聚 聚集
晃 荡
收入 进
驱 驾
失 输
极了 煞为
个人 人家
海 海洋
保存 背
辛 辣
使用 用
一心 倾心
入 合
单薄 薄
旺 盛
弱 逝
却 又
简 简单
处 科
压 抑制
施 运
来 过来
腾 跳
咱家 敝人
咳 嗽
转眼之间 转瞬间
备 负
储存 储蓄
更加 益发
仅仅 祇是
乱 介
狭 窄
观望 视
文笔 笔触
仅仅 只有
睹 视
创 建造
击 攻
甚 甚么
冷 冷门
这边 这里
悄悄 轻声
也 或
起床 起来
此 这儿
眼睛 视力
定型 定型化
枕 界
也 或是
县府 县政府
吃 挨
有无 有没有
派出 陈
基 立基
泄漏 透
若 要是
不然 要不
从而 是故
必定 必然
难受 难过
那么 那么样
占 占据
事 事情
到家 备至
挖出 掘
打破 释
为什么 胡
地板 地面
子 金钱
表 表格
垫 沈
本著 本诸
人民公社 公社
何等 啥
选 选择
板桥 板桥市
置 设
人民 萌
善于 精
压 镇
情僧录 红楼梦
临 来临
益 益加
眼睛 见
你 子
业经 已
劫 灾难
秀 蔚
撤 驱
中正 刚
影 掩
业 工作
眼花撩乱 花
角 角落
立 随即
己 自我
假如 要是
中正 公
些许 有一点儿
出去 出来
哈萨克 哈萨克斯坦
刹那间 转瞬间
全然 彻底
抡 选择
那儿 那里
矩 规
尤有甚者 尤有进者
不啻 非但
特定 相当
找到 找到
交往 往来
亡 死
人物 人类
父 爸
仅只 只是
例如 譬如说
更形 益形
供 给以
主 宰
储蓄 放
出 出于
集 集合
赋 赋与
成长 进步
心灵 精神
当 视作
枪 炮
背 违反
层 格
不光 不祇
当时 顿
防 预防
山羊座 魔羯座
以外 外面
吮 吸收
益 越发
寻求 掘
分别 区
园 幼稚园
文 文言
跟踪 追
主要 大
在于 就是
依然 尚
判 判断
坏 孬
男 男性
宠 惯
当 面临
覆 重复
杂 浑
发 吭
据 秉
尝 试试
刮 掌
兴奋 旺
比方 譬如说
宪 宪兵
不单单 不啻
拜 朝拜
对比 比例
什 什么
孬 柴
和 胡
即已 都
予 赋予
直到 直至
爆 绝顶
原本 本
慢慢 渐渐
碍 阻止
说出 说出来
发 表示
严 密切
定 摄
尝 经
散 释
人文 文
惯 惯于
含 含有
诉 谓
殁 过去
做 的
吐出 说出
急速 迅速
浅 淡
纠缠 缠住
卸 去
分配 配
杜鹃 杜鹃花
机 机车
应当 该
卸 洗
指挥 挥
交大 交通
引 援
去 走
仪 模范
坑 敲
杜鹃 谢豹
不可 不能
著名 著称
伸手 插
江 长江
同时 并且
怀疑 疑
仅仅 仅有
杖 棒子
基本 本
以前 过去
看 窥
呈现 见
肩 肩膀
喀 用
人 子
摔 甩
员 郎
伪 虚
韩 韩国
剥 褪
炙 烤
相近 类似
且 搁
劈 砍
嫌 嫌疑犯
拦截 阻挡
建立 建造
发放 流放
损坏 摧
方 旁
看作 视为
世界 尘
卸 移
折 落败
拔 甄选
劈 斩
布 遍及
历史 史
等 迨
缝 衲
勤 经常
数 额
几 近乎
病 诟病
子 男
基 基本
为何 为啥
市 市场
念 思
烧 燃烧
师 教师
介 超级
典 典礼
减弱 削
街 道路
差 糟
大气 气
改 改变
基础 肩
刻 现在
减 削减
就 按照
横 白
仔细 精
的 等等
上海 东方明珠
仔 种
开 开洋荤
本 资本
打 点
捧 顶
卫 卫生
夕 夜
拒 拒绝
即使 纵然
因此 是故
掰 编
乱 深
例如说 比方
横 画
思索 考量
但 可是
收 记
粉 超
数 数字
夸 盖
唯独 独
曝 漏出
继续 续
杆 钓杆
孰料 意想不到
况 气候
步 走路
枪法 鎗
事情 工
东方 东方出版社
为 系
相 相亲
叫 称作
傻 愚
跟 鞋跟
一家子 家人
及 跟
溶 溶化
只有 祇不过
简单 草率
经由 透
好生 超级
烂 臭
昨 过去
新夷 木兰
即已 已经
希望 想
仅只 唯有
按照 根据
错 错过
以防 防止
殁 逝
梯 级
尽管 虽
上升 升
特别 贼
几乎 殆
个人 阮
暖身 热
睹 观望
发出 放出
些许 少许
宫 故宫
寻找 挖掘
勃 勃起
在于 是
票 选票
吕秀莲 莲
做 梦
拍 照
尤有甚者 更有甚者
土地 地
众多 繁
劳 劳动
建 立
拔 沐
仍 尚
赶 驱逐
望 期
木 粗
嗜 好
全 悉皆
挖掘 谋
愿 愿意
仅仅 唯有
肩负 负
夕 晚
含有 蕴含
不用说 不说
唯有 祇
装 装做
打瞌睡 点头
争相 抢
台 台湾
愚 笨
中共 华
注重 重视
不过 仅有
放 流放
失败 败
世界 境
借以 借以
看来 看起来
分辨 辨
销 销售
欧 殴姆
从 从来
济公 济颠
之至 绝
中正 允
若 要
偏偏 然而
坤 女
作为 当做
去 去除
妻 室
排入 排放到
糟 逊
掘 谋
力 力量
想 意思
与 以及
子 种
想 认
削 降低
这儿 这里
立即 顿
后来 后面
电话 电话机
但 祇
东北 满
忍不住 禁不住
乔治．布希 布
挪 迁
尽管 虽说
丹 红
闻 闻名
假如 脱
光 赤
君 君主
牙 象
结实 结果
挂 死亡
作为 视作
狠 超级
拍摄 摄取
阮 阮籍
精专 长
将来 未来
云 曰
原谅 饶
时期 期
看做 视为
及时 旋
去 拔
死 走
参加 尬
流派 系
到底 终究
落 落泪
明月 月亮
一般 普通
即 在于
喝 饮
君主 王
若 设
说到 谈到
优 佳
些 有些
疾 疾病
伪 假
炒 解雇
接 相比
以 视
抱 拥
出 逾
清华 清华大学
乱 狠
不幸 赛
为 的
坏 败
税 课
傲 轻视
冰雪 雪
课 课程
基 基础
接触 碰到
便 塞
意谓 指
回 归
式 招式
这么 那么
广 泛
林 树林
模范 表
大 老
倘 果
死掉 离开
感到 觉得
毕 皆
以后 以降
圆 抠
危 殆
在下 阮
比 比例
中正 领袖
倔 拗
这 顿
照 秉
假如 假如说
成 能够
不 毋
矬 躬
希望 要
存 存在
圣约翰 约翰
掌握 攥
奋 奋力
依照 就
以 用
专 专门
推 踢
争 怎的
打 打招呼
极为 盛
例如说 好比说
型 色
掺 蕴含
窥 视
想 想法
况 境地
老 超级
墨 失败
异 怪
内部 里
广西 桂
休息 关门
涉 渡过
协 和
公寸 寸
差 贫
业 业经
修正 正
发 发送
施 行礼
危 危险
已然 都
比如说 比方
主 司
创 立
懂得 知
亮 秀
不顾 丢
问 问道
娴熟 熟
便是 纵使
允 准
打 打下来
扭 闪
里 际
可能 希望
台 台湾大学
暑 热
牛 红
毙 煞是
偏偏 可
终 终究
符合 适
心情 感情
兰 宜兰
如 如若
心 腹
热 盛
眠 睡觉
好比 比方说
妹 妹妹
士 士官
因 由于
下 作
恶 盛
烈 盛
后 后代
冲击 进攻
偏 偏远
头 端
对联 联
极 绝
当下 目前
台大 台大医院
型态 态
不过 唯有
旁 首
参见 见
急速 飞
要是 设若
个人 俺
子 钱
挑 肩负
弃置 撒
征 据
小孩 幼
刨 剉
本 秉
列 名列
基本 根本
美 美洲
人物 员
便是 在于
作 建筑
路线 途径
妈 老娘
乃 就是说
水 漂亮
举凡 凡是
柔 软
尽 绝
地 地方
劫 抢
金 金门
呈现 露
刮 剥削
曰 说道
清 满清
家 派
柳 柳公权
或是 抑是
弄 闹
遇 遇到
从１ 就
悉数 整
体 基础
依旧 犹
了 明白
水 水体
之外 除此以外
过去 逝
期 期望
你们 汝等
期盼 许
寄予 赋
心醉 沈醉
画图 绘图
师范 榜样
洗 驱
手法 方式
病症 表现
动 感动
兰 兰花
撑杆 竿
宰 干
建成 造成
热 热衷
有一些 有一点点
精 细
戴 戴绿帽
精专 长于
划 猜
探 窥
根本 立基
建 盖
统一 统一狮
光 只
生疏 陌生
弱 殁
父 老子
互 交互
以至于 甚至
心 眼睛
荫 阴
宜 适当
代 辈
刺 刺刺
保有 持
即 即时
今天 刻
激１ 非常
倾 倾心
新郑 郑
派 派别
保存 收
加 饶
成本 本
什么 甚
临 接
肩 负
脖子 颈
什么 啥子
关系 故
余 阿拉
脱 遗
云 言
回去 回来
剉 吓
水 自来水
弱 离去
心醉 醉
及时 立
弱 虚
消 褪
明 明天
君 王
起 起来
搭 答
来不及 莫及
去１ 离开
已 拢
诸葛亮 诸葛孔明
唯有 独独
奏 演奏
浪 荡
学校 校
映 照
中 适
作 匠
凶 凶手
中正 蒋
但 然则
活活 活生生
动 开刀
看看 观赏
平 平手
容 纳
疾病 症
关 锁
爱 珍惜
扁 瘦
壹 悉皆
刚 新
出 泄
扑 拍
去 离开
否 差
册 本
受 受到
衣 衣服
即将 要
予 赋
更加 益形
分为 画成
对 面临
立委 立法委员
哈 弯腰
和 平手
梅树 梅花
以前 过往
妈咪 母
何止 岂只
一并 共同
严峻 重
自己 身
最少 至少
何况 更何况
创 创造
本金 资金
扒 拨
来自于 源于
逢甲 逢甲大学
激 疾
即已 既
个 个儿
兼 同
投入 花
擅 长于
便是 就算
是 真正
无 没有
找 挖掘
非 非洲
如 要
向 往
乏 贫
粉 素
受到 讨
代 代理
不致 不致于
备 有
刻 目前
做 即
引 引得
到 就
脱 落
不料 意想不到
烧 青
带有 混
再来 接下来
股 股票
卖 贩卖
小 小学
坐 搭
秩序 轨
谢 谢长廷
从 自
损坏 破坏
叫做 曰
坐 打
旺 烈
叙述 述
手法 方法
花费 钱
卸 灭绝
坚硬 确
困难 难
过 过去
全部 浑
时候 际
折 拐
盛 隆
介 居中
巴 锅巴
